<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
06N,D,20250821,000000,2.44,2.44,2.44,2.44,50,0
11B,D,20250821,000000,185,185.2,184.3,184.7,260,0
1AT,D,20250821,000000,60.8,61.1,59,59,134,0
3RG,D,20250821,000000,0.828,0.828,0.806,0.806,23388,0
4MS,D,20250821,000000,4.99,5.04,4.95,5.04,2529,0
ABE,D,20250821,000000,93.3,93.8,93.3,93.7,119,0
ABS,D,20250821,000000,85,85,84.8,84.8,44,0
ACG,D,20250821,000000,25,25,25,25,142,0
ACP,D,20250821,000000,197.4,197.4,195.6,196.2,964,0
ACT,D,20250821,000000,26.6,26.65,26.6,26.65,42,0
ADV,D,20250821,000000,0.822,0.844,0.822,0.844,14430,0
AGO,D,20250821,000000,9.3,9.44,9.3,9.44,976,0
AGT,D,20250821,000000,6.78,6.78,6.78,6.78,133,0
ALE,D,20250821,000000,37.9,38.145,37.865,38.02,62359,0
ALG,D,20250821,000000,0.99,0.99,0.99,0.99,500,0
ALI,D,20250821,000000,1.855,1.86,1.85,1.86,18,0
ALL,D,20250821,000000,18.96,18.96,18.68,18.68,415,0
ALR,D,20250821,000000,117,117.1,116.05,116.1,7475,0
AMB,D,20250821,000000,20,20.15,20,20,1583,0
AMC,D,20250821,000000,57.8,57.8,57.8,57.8,9,0
ANR,D,20250821,000000,29,29,29,29,324,0
APE,D,20250821,000000,3.04,3.04,3.04,3.04,5,0
APN,D,20250821,000000,18.75,18.75,18.75,18.75,2,0
APR,D,20250821,000000,20.85,20.85,20.6,20.6,3193,0
APT,D,20250821,000000,21.5,21.5,21.4,21.4,721,0
ARH,D,20250821,000000,48.9,48.9,47.5,47.5,105,0
ARL,D,20250821,000000,44.7,44.8,44.67,44.7,2115,0
ART,D,20250821,000000,14.88,14.88,14.52,14.52,39,0
ASB,D,20250821,000000,28.64,28.7,28.1,28.1,17433,0
ASE,D,20250821,000000,71.9,72,71.9,72,130,0
AST,D,20250821,000000,51,51.2,50.1,50.1,1963,0
ATC,D,20250821,000000,9.6,9.62,9.55,9.62,960,0
ATD,D,20250821,000000,3.49,3.49,3.49,3.49,1340,0
ATG,D,20250821,000000,3.84,3.84,3.84,3.84,388,0
ATR,D,20250821,000000,42.7,44.2,42.7,42.8,5637,0
ATT,D,20250821,000000,19.13,19.13,19,19,4976,0
AWM,D,20250821,000000,0.4145,0.4145,0.4015,0.402,71168,0
BCM,D,20250821,000000,5.25,5.25,5.25,5.25,5,0
BCS,D,20250821,000000,13.3,13.38,13.2,13.38,503,0
BCX,D,20250821,000000,104.8,104.8,104.2,104.2,56,0
BDX,D,20250821,000000,585.2,589,578.8,580.6,2318,0
BFT,D,20250821,000000,3390,3395,3360,3360,55,0
BHW,D,20250821,000000,109,111.2,109,111,8834,0
BIO,D,20250821,000000,4.1,4.1,4.1,4.1,1853,0
BLO,D,20250821,000000,29.4,29.45,29.05,29.05,105,0
BMC,D,20250821,000000,13.96,13.96,13.66,13.72,6979,0
BMX,D,20250821,000000,13.55,13.55,13.55,13.55,12,0
BNP,D,20250821,000000,114.5,116,114,114,172,0
BOS,D,20250821,000000,12.56,12.56,12.42,12.42,2623,0
BOW,D,20250821,000000,4.45,4.45,4.45,4.45,89,0
BRS,D,20250821,000000,6,6,6,6,830,0
CAR,D,20250821,000000,595,595,593,593,5,0
CBF,D,20250821,000000,174.6,174.6,172.6,173.4,362,0
CCC,D,20250821,000000,173.2,173.8,169.9,170.5,40721,0
CDL,D,20250821,000000,9.95,9.95,9.95,9.95,1,0
CDR,D,20250821,000000,253,253.8,252.2,253.4,5260,0
CIG,D,20250821,000000,2.83,2.85,2.75,2.78,592534,0
CLC,D,20250821,000000,6.87,6.95,6.87,6.95,1853,0
CLD,D,20250821,000000,45.7,45.7,45.7,45.7,1,0
CLE,D,20250821,000000,3.09,3.09,2.92,2.97,64005,0
CLN,D,20250821,000000,23.05,23.2,23.05,23.2,630,0
CMP,D,20250821,000000,252,253,252,253,14,0
COG,D,20250821,000000,6.795,6.8,6.71,6.71,15168,0
CPD,D,20250821,000000,6.3,6.3,6.3,6.3,1673,0
CPL,D,20250821,000000,4.8,4.8,4.8,4.8,200,0
CPR,D,20250821,000000,0.772,0.772,0.772,0.772,3305,0
CPS,D,20250821,000000,14.99,14.99,14.64,14.87,72860,0
CRI,D,20250821,000000,285.5,285.5,284,284,64,0
CRJ,D,20250821,000000,458,466,458,466,35,0
CRM,D,20250821,000000,0.5,0.524,0.5,0.524,43299,0
CSR,D,20250821,000000,3.94,3.94,3.94,3.94,300,0
CTX,D,20250821,000000,41.2,41.2,40.6,40.6,14,0
DAD,D,20250821,000000,53.4,53.4,52.6,53.2,2291,0
DAT,D,20250821,000000,98.68,98.7,97.8,98.3,183,0
DBC,D,20250821,000000,83.4,83.6,83,83.1,185,0
DBE,D,20250821,000000,11.75,11.75,11.7,11.7,284,0
DCR,D,20250821,000000,73,74,72.6,73.8,111,0
DEK,D,20250821,000000,76,76,75,75,103,0
DEL,D,20250821,000000,6.62,6.68,6.62,6.68,266,0
DIA,D,20250821,000000,204,207,204,207,1348,0
DIG,D,20250821,000000,96.7,98.2,96.5,98.2,659,0
DMG,D,20250821,000000,3.74,3.74,3.74,3.74,2,0
DNP,D,20250821,000000,49.88,50.12,49.71,49.91,102934,0
DOM,D,20250821,000000,254,254.5,251.5,254,32,0
DVL,D,20250821,000000,8.24,8.24,8.12,8.22,736,0
EAH,D,20250821,000000,37.9,38,37.9,37.9,753,0
EAT,D,20250821,000000,14.94,14.94,14.64,14.7,2661,0
ECB,D,20250821,000000,30,30.4,30,30.4,272,0
ECH,D,20250821,000000,5.56,5.62,5.52,5.62,4187,0
EDI,D,20250821,000000,6.6,6.6,6.32,6.58,88,0
EKP,D,20250821,000000,2.46,2.46,2.46,2.46,46,0
ELT,D,20250821,000000,54.8,54.9,53.7,54,1309,0
ENA,D,20250821,000000,18.88,18.9,18.63,18.76,21567,0
ENE,D,20250821,000000,18.8,18.8,18.8,18.8,2,0
ENG,D,20250821,000000,13.76,13.84,13.74,13.82,7071,0
ENT,D,20250821,000000,53.7,53.7,53,53.7,560,0
EQU,D,20250821,000000,0.97,0.97,0.97,0.97,300,0
ERB,D,20250821,000000,33.9,33.9,33.9,33.9,50,0
ETL,D,20250821,000000,23.4,23.4,23.4,23.4,147,0
EUC,D,20250821,000000,3.35,3.58,3.23,3.52,65286,0
EUR,D,20250821,000000,8.24,8.24,8.22,8.235,2606,0
FAB,D,20250821,000000,26.8,26.8,26.8,26.8,1,0
FEE,D,20250821,000000,13.6,13.6,13.6,13.6,2,0
FMG,D,20250821,000000,103,103.5,103,103.5,45,0
FRO,D,20250821,000000,36.5,36.5,36.2,36.2,958,0
FTE,D,20250821,000000,28.4,28.9,28.4,28.8,889,0
GEA,D,20250821,000000,2.59,2.595,2.59,2.595,3855,0
GIF,D,20250821,000000,6.14,6.14,6.14,6.14,666,0
GKI,D,20250821,000000,3.2,3.2,3.13,3.13,53,0
GMT,D,20250821,000000,6.29,6.29,6.29,6.29,2,0
GOB,D,20250821,000000,23.3,23.3,23.3,23.3,25,0
GOP,D,20250821,000000,15.28,15.28,15.02,15.02,171,0
GPP,D,20250821,000000,72,72,71.9,72,3606,0
GPW,D,20250821,000000,58,59.5,58,58.5,13834,0
GRN,D,20250821,000000,11.8,11.9,11.8,11.85,352,0
GRX,D,20250821,000000,1.805,1.808,1.783,1.791,31076,0
GTN,D,20250821,000000,0.522,0.522,0.516,0.517,28152,0
HDR,D,20250821,000000,19.5,19.5,19.5,19.5,36,0
HEL,D,20250821,000000,28.4,28.4,28.4,28.4,2,0
HRP,D,20250821,000000,6.5,6.5,6.5,6.5,2,0
HRS,D,20250821,000000,1.275,1.275,1.275,1.275,10,0
HUG,D,20250821,000000,20.6,20.6,20.5,20.55,3077,0
IBS,D,20250821,000000,63.8,63.8,63.8,63.8,57,0
ICE,D,20250821,000000,10,10.1,10,10.06,1419,0
IDM,D,20250821,000000,0.6,0.6,0.6,0.6,900,0
IFI,D,20250821,000000,28,28,27.9,28,230,0
IMC,D,20250821,000000,28.6,28.6,27.6,27.7,482,0
IMS,D,20250821,000000,3.42,3.46,3.42,3.46,281,0
